title,exercise_path
60° Incline Bench Press (Dumbbells),/exercise/1464
90/90 Hip Rotation,/exercise/1442
90/90 Hip Rotations with Hand Support,/exercise/1441
Abdominal and Hip Flexors Stretch,/exercise/6
Abdominal Bracing,/exercise/632
Abdominal Crunches (Bodyweight),/exercise/7
Abdominal Crunches (Machine),/exercise/9
Abdominal Crunches (Resistance Band),/exercise/10
Abdominal Crunches (Stability Ball),/exercise/800
Abdominal Crunches (Weight Plate),/exercise/8
Abdominal Crunches Straight Legs (Weight Plate),/exercise/11
Abdominal Stretch,/exercise/14
Abdominal Twist,/exercise/15
Adaptive Muscle-up (Rings),/exercise/1221
Adaptive Muscle-up 2 (Rings),/exercise/1222
Alternate Wave Squat (Battle Rope),/exercise/793
Alternate-leg Bounding,/exercise/740
Alternating Bicep Curl (Dumbbell),/exercise/1472
Alternating Shoulder Press (Kettlebell),/exercise/1200
Alternating Stair Jump,/exercise/1420
Alternating Toe Touch,/exercise/1327
Alternating V Up,/exercise/1299
Alternating Wave (Battle Rope),/exercise/787
Alternating Wave with Lunge (Battle Rope),/exercise/796
Alternating Wave with Side Lunge (Battle Rope),/exercise/794
Anderson Back Squat,/exercise/1043
Anderson Front Squat,/exercise/1040
"Anterior Deltoid , Pectoralis and Biceps Brachii Stretch",/exercise/19
Anterior Shoulder & Chest Stretch on a Wall,/exercise/223
Anterior Shoulder & Chest Stretch on the Floor,/exercise/423
Anterior Shoulder & Chest Stretch Using a Bar,/exercise/225
Anti-rotation Reverse Lunge (Cable),/exercise/1191
Anti-rotational Supine Bicycle,/exercise/1136
Archer Bodyweight Row (Bar),/exercise/1329
Archer Pull-up (Bodyweight),/exercise/677
Archer Push-up,/exercise/670
Archer Push-up (Parallettes),/exercise/979
Archer Squat,/exercise/927
Army Combat Fitness Test,/exercise/893
Arnold Press (Dumbbell),/exercise/1012
Assault Bike,/exercise/1482
Assisted Chest Dips (Machine),/exercise/1473
Assisted Cossack Squat,/exercise/962
Assisted Front Lever (Resistance Band),/exercise/1330
Assisted Handstand Push-up (Box),/exercise/1268
Assisted Handstand Push-up (Straps),/exercise/153
Assisted One-arm Pull-up,/exercise/1022
Assisted Pistol Squat Bottom Hold,/exercise/1387
Assisted Planche (Resistance Band),/exercise/1331
Assisted Pull-up (Box),/exercise/456
Assisted Shrimp Squat (Straps),/exercise/29
Australian Pull-up,/exercise/871
Back Extension (Bodyweight),/exercise/27
Back Extension (Roman Chair),/exercise/28
Back Extensions (Stability Ball),/exercise/853
Back Lever,/exercise/844
Back Row (Straps),/exercise/186
Backward Sled Drag,/exercise/1037
Balance Lunge with Hop (Straps),/exercise/30
Band Assisted Pistol Squat,/exercise/1386
Banded Ankle Mobility (Resistance Band),/exercise/896
Banded Bridge,/exercise/964
Banded Deadlift,/exercise/965
Banded Single Leg Hip Thrust,/exercise/1197
Batwing Hold,/exercise/1036
Bear Crawl,/exercise/1305
Behind the Neck Shoulder Press (Bar),/exercise/299
Behind-the-Back Curl (Cable),/exercise/1461
Behind-the-Back One-Arm Curl (Cable),/exercise/1163
Bench Fly (Cable),/exercise/87
Bench Glute Bridge (Dumbbell),/exercise/835
Bench Press (Barbell),/exercise/86
Bench Press (Dumbbell),/exercise/88
Bench Press (Smith Machine),/exercise/1451
Bent Arm Frog Stand,/exercise/1049
Bent Leg Hip Extension (Bodyweight ),/exercise/137
Bent Leg Roll-up,/exercise/1048
Bent-over High Row (Resistance Band),/exercise/782
Bent-over Rear Row (Smith Machine),/exercise/1449
Bent-over Row (Barbell),/exercise/1033
Bent-over Row (Kettlebell),/exercise/470
Bent-over Row (Long Bar),/exercise/682
Bent-over Row (Sandbag),/exercise/936
Bent-over Row (Smith Machine),/exercise/1450
Bicep Curl (EZ Bar),/exercise/34
Bicep Curl (Rings),/exercise/1224
Biceps Curl with Hip Abduction (Resistance Band),/exercise/778
Biceps Curls (Dumbbell),/exercise/36
Biceps Curls (High Pulley),/exercise/37
Biceps Curls (Low Pulley),/exercise/38
Biceps Curls (Machine),/exercise/40
Biceps Curls (Straps),/exercise/41
Biceps Curls (Variations),/exercise/33
Bicycles Crunches,/exercise/1306
Bird Dog,/exercise/413
Bottoms Up (Kettlebell Carry),/exercise/1230
Box Marches,/exercise/745
Box Pistol Squat,/exercise/1384
Brachioradialis stretch,/exercise/42
Breakdancer Kick,/exercise/1307
Bridge (Bodyweight),/exercise/45
"Bridge and Hip Abductions (Stability Ball, Resistance Band)",/exercise/43
Bridge Stretch,/exercise/44
Bridge with Bicep Curl (Stability Ball),/exercise/662
"Bridge with Front Raise (Stability Ball, Dumbbell)",/exercise/665
Bridge with Lateral Raise (Resistance Band),/exercise/623
Bridge with Triceps Extensions (Stability Ball),/exercise/694
Bulgarian Split Squat (Bodyweight),/exercise/314
Bulgarian Split Squat (Straps),/exercise/315
Bulgarian Split Squat with Medial Band Pull,/exercise/1251
Burpee (Bodyweight),/exercise/434
Burpee Broad Jump,/exercise/1422
Butterfly Crunches,/exercise/1308
Butterfly Pull-up,/exercise/1020
Butterfly Sit-up,/exercise/1309
